index;GAZP_close;GOLD_close;GAZP_close_delta(t+1);GAZP_close_delta(t-1);GAZP_close_delta(t-2);GAZP_close_delta(t-3);GAZP_close_delta(t-4);GAZP_close_delta(t-5);GOLD_close_delta(t-1);GOLD_close_delta(t-2);GOLD_close_delta(t-3);GOLD_close_delta(t-4);GOLD_close_delta(t-5)
0;177.97;nan;175.76;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
20220103;353.73;1807.4;-1.18;-175.76;nan;nan;nan;nan;nan;nan;nan;nan;nan
20220104;352.55;1817;-17.55;1.18;-174.58;nan;nan;nan;-9.6;nan;nan;nan;nan
20220105;335;1812.1;11.13;17.55;18.73;-157.03;nan;nan;4.9;-4.7;nan;nan;nan
20220106;346.13;1790;nan;-11.13;6.42;7.6;-168.16;nan;22.1;27;17.4;nan;nan
20220107;nan;1796.1;nan;nan;nan;nan;nan;nan;-6.1;16;20.9;11.3;nan
20220110;344;1802.7;-0.26;nan;2.13;-9;8.55;9.73;-6.6;-12.7;9.4;14.3;4.7
20220111;343.74;1822.7;3.69;0.26;nan;2.39;-8.74;8.81;-20;-26.6;-32.7;-10.6;-5.7
20220112;347.43;1827.9;-9.83;-3.69;-3.43;nan;-1.3;-12.43;-5.2;-25.2;-31.8;-37.9;-15.8
20220113;337.6;1822.6;-1.84;9.83;6.14;6.4;nan;8.53;5.3;0.1;-19.9;-26.5;-32.6
20220114;335.76;1818.1;-7.95;1.84;11.67;7.98;8.24;nan;4.5;9.8;4.6;-15.4;-22
20220117;327.81;1820;-26.7;7.95;9.79;19.62;15.93;16.19;-1.9;2.6;7.9;2.7;-17.3
20220118;301.11;1815.5;17.25;26.7;34.65;36.49;46.32;42.63;4.5;2.6;7.1;12.4;7.2
20220119;318.36;1843.7;-7.94;-17.25;9.45;17.4;19.24;29.07;-28.2;-23.7;-25.6;-21.1;-15.8
20220120;310.42;1838.9;1.18;7.94;-9.31;17.39;25.34;27.18;4.8;-23.4;-18.9;-20.8;-16.3
20220121;311.6;1831.4;-17.01;-1.18;6.76;-10.49;16.21;24.16;7.5;12.3;-15.9;-11.4;-13.3
20220124;294.59;1843;8.37;17.01;15.83;23.77;6.52;33.22;-11.6;-4.1;0.7;-27.5;-23
20220125;302.96;1848.7;-3.36;-8.37;8.64;7.46;15.4;-1.85;-5.7;-17.3;-9.8;-5;-33.2
20220126;299.6;1817;25.65;3.36;-5.01;12;10.82;18.76;31.7;26;14.4;21.9;26.7
20220127;325.25;1796;4.33;-25.65;-22.29;-30.66;-13.65;-14.83;21;52.7;47;35.4;42.9
20220128;329.58;1789.6;5.22;-4.33;-29.98;-26.62;-34.99;-17.98;6.4;27.4;59.1;53.4;41.8
20220131;334.8;1799.5;-3.85;-5.22;-9.55;-35.2;-31.84;-40.21;-9.9;-3.5;17.5;49.2;43.5
20220201;330.95;1800.7;0.75;3.85;-1.37;-5.7;-31.35;-27.99;-1.2;-11.1;-4.7;16.3;48
20220202;331.7;1806.4;-7.95;-0.75;3.1;-2.12;-6.45;-32.1;-5.7;-6.9;-16.8;-10.4;10.6
20220203;323.75;1805.8;0.85;7.95;7.2;11.05;5.83;1.5;0.6;-5.1;-6.3;-16.2;-9.8
20220204;324.6;1807.3;-3.35;-0.85;7.1;6.35;10.2;4.98;-1.5;-0.9;-6.6;-7.8;-17.7
20220207;321.25;1821.3;10.45;3.35;2.5;10.45;9.7;13.55;-14;-15.5;-14.9;-20.6;-21.8
20220208;331.7;1827;3.38;-10.45;-7.1;-7.95;0;-0.75;-5.7;-19.7;-21.2;-20.6;-26.3
20220209;335.08;1832.4;-6.15;-3.38;-13.83;-10.48;-11.33;-3.38;-5.4;-11.1;-25.1;-26.6;-26
20220210;328.93;1827.2;-10.83;6.15;2.77;-7.68;-4.33;-5.18;5.2;-0.2;-5.9;-19.9;-21.4
20220211;318.1;1862.4;3.75;10.83;16.98;13.6;3.15;6.5;-35.2;-30;-35.4;-41.1;-55.1
20220214;321.85;1873;11.75;-3.75;7.08;13.23;9.85;-0.6;-10.6;-45.8;-40.6;-46;-51.7
20220215;333.6;1854.2;2.9;-11.75;-15.5;-4.67;1.48;-1.9;18.8;8.2;-27;-21.8;-27.2
20220216;336.5;1872.2;-12.99;-2.9;-14.65;-18.4;-7.57;-1.42;-18;0.8;-9.8;-45;-39.8
20220217;323.51;1897.5;-14.03;12.99;10.09;-1.66;-5.41;5.42;-25.3;-43.3;-24.5;-35.1;-70.3
20220218;309.48;1895.9;-52.18;14.03;27.02;24.12;12.37;8.62;1.6;-23.7;-41.7;-22.9;-33.5
20220221;257.3;1900.1;26.21;52.18;66.21;79.2;76.3;64.55;-4.2;-2.6;-27.9;-45.9;-27.1
20220222;283.51;1899.8;nan;-26.21;25.97;40;52.99;50.09;0.3;-3.9;-2.3;-27.6;-45.6
20220223;nan;1909.5;nan;nan;nan;nan;nan;nan;-9.7;-9.4;-13.6;-12;-37.3
20220224;210;1893.9;18;nan;73.51;47.3;99.48;113.51;15.6;5.9;6.2;2;3.6
20220225;228;1895.7;nan;-18;nan;55.51;29.3;81.48;-1.8;13.8;4.1;4.4;0.2
20220302;nan;1935;nan;nan;nan;nan;nan;nan;-39.3;-41.1;-25.5;-35.2;-34.9
20220303;nan;1895;nan;nan;nan;nan;nan;nan;40;0.7;-1.1;14.5;4.8
20220304;nan;1941;nan;nan;nan;nan;nan;nan;-46;-6;-45.3;-47.1;-31.5
