index;GAZP close;GOLD close;IMOEX close;GAZP open;GAZP high;GAZP low;GAZP close_delta(t+1);GAZP close_delta(t-1);GAZP close_delta(t-2);GAZP close_delta(t-3);GAZP close_delta(t-4);GAZP close_delta(t-5);GOLD close_delta(t-1);GOLD close_delta(t-2);GOLD close_delta(t-3);GOLD close_delta(t-4);GOLD close_delta(t-5);IMOEX close_delta(t-1);IMOEX close_delta(t-2);IMOEX close_delta(t-3);IMOEX close_delta(t-4);IMOEX close_delta(t-5);predicted
20220117;0.974175;0.891196;0.973901;0.998662;0.99697;0.962457;-0.294539;0.0876999;0.0931051;0.176122;0.143578;0.147249;-0.0341727;0.0333761;0.0930506;0.0235808;-0.136543;0.102769;0.241206;0.442308;0.399247;0.358676;0.0342686
20220118;0.894829;0.888992;0.910601;0.978565;0.968586;0.894699;0.190292;0.294539;0.329529;0.327558;0.417485;0.387722;0.0809353;0.0333761;0.0836278;0.108297;0.0568272;0.649244;0.565247;0.567306;0.889246;0.917858;0.0168229
20220119;0.946092;0.902801;0.940111;0.891902;0.942467;0.852542;-0.0875896;-0.190292;0.0898716;0.156194;0.173411;0.264393;-0.507194;-0.304236;-0.301531;-0.184279;-0.124704;-0.302668;0.260502;0.26276;0.422268;0.790704;-0.00367738
20220120;0.922496;0.90045;0.961775;0.946486;0.960909;0.935016;0.0130171;0.0875896;-0.0885402;0.156104;0.228391;0.247203;0.0863309;-0.300385;-0.222615;-0.181659;-0.12865;-0.222204;-0.394517;0.0727282;0.143696;0.319214;0.0460003
20220121;0.926003;0.896778;0.940776;0.920115;0.947085;0.915204;-0.187645;-0.0130171;0.0642891;-0.0941652;0.146102;0.219736;0.134892;0.157895;-0.187279;-0.0995633;-0.104972;0.215386;-0.00512442;-0.180976;0.214941;0.317243;-0.0414123
20220124;0.875453;0.902458;0.884982;0.923951;0.923584;0.846149;0.0923331;0.187645;0.150547;0.213375;0.0587652;0.302137;-0.208633;-0.0526316;0.00824499;-0.240175;-0.181531;0.572258;0.592029;0.330648;0.166238;0.653814;-0.0223988
20220125;0.900327;0.905249;0.891399;0.873766;0.897112;0.873349;-0.0370656;-0.0923331;0.0821683;0.0669659;0.138801;-0.0168258;-0.102518;-0.22208;-0.11543;-0.0436681;-0.262036;-0.0658194;0.380662;0.422096;0.316075;0.141194;-0.0213617
20220126;0.890342;0.889727;0.918457;0.900523;0.905053;0.885652;0.282956;0.0370656;-0.0476462;0.10772;0.0975214;0.170623;0.570144;0.333761;0.169611;0.191266;0.210734;-0.27753;-0.258077;0.133857;0.281074;0.159215;0.089869
20220127;0.966568;0.879444;0.945338;0.882537;0.970645;0.886557;0.0477661;-0.282956;-0.211983;-0.275224;-0.123028;-0.134879;0.377698;0.676508;0.553592;0.30917;0.338595;-0.275706;-0.415837;-0.362;-0.0296054;0.120859;0.0149962
20220128;0.979435;0.87631;0.954275;0.967743;0.985058;0.971142;0.0575841;-0.0477661;-0.285117;-0.238959;-0.315367;-0.163529;0.115108;0.351733;0.696113;0.466376;0.329913;-0.091659;-0.276128;-0.37711;-0.449619;-0.0992578;-0.00423207
20220131;0.994948;0.881158;0.965703;0.983827;0.989499;0.996683;-0.042471;-0.0575841;-0.0908226;-0.315978;-0.286976;-0.365712;-0.178058;-0.0449294;0.206125;0.429694;0.343331;-0.117218;-0.157001;-0.283366;-0.482136;-0.593536;-0.0651396
20220201;0.983507;0.881745;0.97057;0.995778;0.990146;0.980942;0.00827358;0.042471;-0.013029;-0.051167;-0.28256;-0.25457;-0.0215827;-0.14249;-0.0553592;0.142358;0.378848;-0.0499116;-0.125622;-0.15133;-0.338137;-0.582132;0.0265632
20220202;0.985736;0.884536;0.969374;0.988197;0.981528;0.982148;-0.0876999;-0.00827358;0.0294817;-0.0190305;-0.0581343;-0.291951;-0.102518;-0.0885751;-0.19788;-0.0908297;0.0836622;0.0122605;-0.0283003;-0.0905616;-0.155961;-0.374384;-0.0249602
