index;GAZP_close_delta(t+1);GAZP_close_delta(t-1);GAZP_close_delta(t-2);GAZP_close_delta(t-3);GAZP_close_delta(t-4);GAZP_close_delta(t-5);GOLD_close_delta(t-1);GOLD_close_delta(t-2);GOLD_close_delta(t-3);GOLD_close_delta(t-4);GOLD_close_delta(t-5)
20220117;-0.0964324;-0.168492;-0.121552;-0.00481717;-0.0331068;-0.0302165;0.0366795;0.0509138;0.110048;0.15696;0.03305
20220118;0.52455;0.0964324;0.170832;0.179877;0.297309;0.260301;0.160232;0.0509138;0.100478;0.252715;0.2644
20220119;0.168633;-0.52455;-0.125551;-0.029122;0.00288122;0.111306;-0.471042;-0.292428;-0.29067;-0.0779862;0.0472144
20220120;0.297492;-0.168633;-0.346192;-0.0292314;0.0692036;0.0905395;0.166023;-0.288512;-0.210526;-0.0750247;0.0424929
20220121;0.0404804;-0.297492;-0.157189;-0.334465;-0.0300625;0.0573563;0.218147;0.177546;-0.174641;0.017769;0.0708215
20220124;0.399082;-0.0404804;-0.0505146;0.0406175;-0.135417;0.156906;-0.150579;-0.0365535;0.0239234;-0.141165;-0.0207743
20220125;0.233345;-0.399082;-0.135078;-0.137946;-0.0388693;-0.228436;-0.0366795;-0.208877;-0.101675;0.0809477;-0.117092
20220126;0.643236;-0.233345;-0.295619;-0.0882417;-0.0886654;-0.0019778;0.685328;0.356397;0.187799;0.346496;0.448536
20220127;0.341999;-0.643236;-0.498853;-0.555288;-0.354716;-0.371058;0.478764;0.704961;0.577751;0.479763;0.601511
20220128;0.354574;-0.341999;-0.589297;-0.511058;-0.586736;-0.40567;0.196911;0.374674;0.722488;0.657453;0.591124
20220131;0.226422;-0.354574;-0.349015;-0.604992;-0.552487;-0.649929;-0.117761;-0.0287206;0.22488;0.615992;0.607177
20220201;0.291416;-0.226422;-0.252808;-0.282023;-0.54716;-0.515658;0.0501931;-0.127937;-0.0406699;0.291214;0.649669
20220202;0.168492;-0.291416;-0.200235;-0.242829;-0.276434;-0.560817;-0.0366795;-0.073107;-0.185407;0.0276407;0.296506
20220203;0.292829;-0.168492;-0.152014;-0.0986424;-0.142919;-0.191627;0.0849421;-0.0496084;-0.0598086;-0.029615;0.103872
20220204;0.233486;-0.292829;-0.15319;-0.150099;-0.0954064;-0.15339;0.0444015;0.00522193;-0.0633971;0.053307;0.0292729
20220207;0.428471;-0.233486;-0.207292;-0.105211;-0.100843;-0.0592243;-0.196911;-0.185379;-0.162679;-0.0730503;-0.00944287
20220208;0.328576;-0.428471;-0.3202;-0.306656;-0.206306;-0.21635;-0.0366795;-0.240209;-0.238038;-0.0730503;-0.0519358
20220209;0.193924;-0.328576;-0.399353;-0.334355;-0.329492;-0.245248;-0.030888;-0.127937;-0.284689;-0.13228;-0.0491029
20220210;0.127799;-0.193924;-0.204116;-0.3037;-0.253384;-0.265026;0.173745;0.0143603;-0.0550239;-0.0661402;-0.00566572
20220211;0.333804;-0.127799;-0.0369891;-0.0707248;-0.172058;-0.136688;-0.606178;-0.374674;-0.407895;-0.27542;-0.32389
20220214;0.446839;-0.333804;-0.153425;-0.0747756;-0.0992117;-0.214702;-0.131274;-0.58094;-0.470096;-0.323791;-0.291785
20220215;0.321794;-0.446839;-0.418994;-0.270747;-0.190215;-0.228986;0.436293;0.124021;-0.307416;-0.0848963;-0.0604344
20220216;0.0972801;-0.321794;-0.408997;-0.421064;-0.288611;-0.223712;-0.274131;0.0274151;-0.101675;-0.313919;-0.179415
20220217;0.0825857;-0.0972801;-0.118024;-0.237793;-0.265126;-0.148555;-0.415058;-0.548303;-0.277512;-0.21619;-0.467422
20220218;-0.456446;-0.0825857;0.0810938;0.0444493;-0.071813;-0.113394;0.104247;-0.292428;-0.483254;-0.0957552;-0.119924
20220221;0.651148;0.456446;0.542017;0.647471;0.623267;0.501154;-0.00772201;-0.0169713;-0.318182;-0.322804;-0.0594901
20220331;0.406853;-0.654963;-0.642223;-0.48106;-0.374613;-0.0319745;-0.0733591;-0.369452;-0.0442584;0.346496;0.436261
20220401;0.302013;-0.406853;-0.653043;-0.694767;-0.562925;-0.476211;0.364865;0.114883;-0.157895;0.23001;0.545798
20220404;0.148004;-0.302013;-0.359247;-0.623604;-0.694482;-0.584991;0.0579151;0.203655;0.0956938;-0.0207305;0.28423
20220405;0.227128;-0.148004;-0.143781;-0.230786;-0.5053;-0.598176;0.137066;0.0496084;0.226077;0.229023;0.0830973
20220406;0.355705;-0.227128;-0.0814466;-0.0915262;-0.17608;-0.46852;0.0366795;0.035248;0.0227273;0.285291;0.272899
20220407;0.225291;-0.355705;-0.254337;-0.133129;-0.136722;-0.235798;-0.0868726;-0.116188;-0.0669856;0.0542942;0.266289
20220408;0.188697;-0.225291;-0.252808;-0.193015;-0.0776842;-0.094605;-0.0733591;-0.190601;-0.197368;-0.0128332;0.0519358
20220411;0.305546;-0.188697;-0.11379;-0.163236;-0.108997;-0.0064828;-0.0965251;-0.197128;-0.279904;-0.13228;-0.0236072
20220412;0.260615;-0.305546;-0.180594;-0.12437;-0.169339;-0.128997;-0.359073;-0.390339;-0.448565;-0.33465;-0.266289
